created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 15:07:03 +0000 2023,1630585376036503552,@starfess 1. exo kehilangan 3 membernya itu pas gue lagi ngefans bgt sama mereka 2. b.i keluar dri ikon karena ngikutin perjuangannya dia dari win sampai mix and match 3. mashidam keluar dari treasure saat gue lagi sayang sayangnya sama mereka 4. meninggalnya jonghyun shinee,1,1,45,1269,in,1403264881034358791,1630569851835019265,orangesquashbeb,https://twitter.com/orangesquashbeb/status/1630585376036503552,starfess
Tue Feb 28 11:49:01 +0000 2023,1630535539924561921,"[TRANS] 🐰 280223  OP : liat deh, ini udah diumumin…siapa coba yang gak bangga? treasure tuh selalu bikin bangga! satu-satunya artis korea yang tampil di acara internasional di jepang! aku bangga banget ㅠㅠ  cont. @treasuremembers https://t.co/6P45OmXOBB",29,4,130,1713,in,1376469852479574020,1630535539924561921,teuverse_id,https://twitter.com/teuverse_id/status/1630535539924561921,treasuremembers
Tue Feb 28 10:23:50 +0000 2023,1630514104669736960,"-hey baru nonton, di sini sender terpesona sama akting doyoung treasure dari ekspresi, tatapan matanya, karakternya yg jadi ketua kelas nyebelin tp ga bisa benci sama orangnya🤭 cocok jadi peran antagonis, keren dah pokoknya 👏 https://t.co/iNNkwvtAZm",47,85,120,1681,in,1210342758029807616,1630514104669736960,starfess,https://twitter.com/starfess/status/1630514104669736960,
Mon Feb 27 06:42:41 +0000 2023,1630096061267345410,- adek abang sama aja -  —————  asahi treasure ft asa few tweets au https://t.co/BdWrcn0deI,38,1,519,3726,in,1300637517402701824,1630096061267345410,kattsoju,https://twitter.com/kattsoju/status/1630096061267345410,
Sat Feb 25 09:06:21 +0000 2023,1629407440373526528,teume! treasure bikin tiktok bagaikan langit di sore hari 😭😭  https://t.co/R5S21mC1ux,379,315,388,3246,in,1271439514460753920,1629407440373526528,treasuremenfess,https://twitter.com/treasuremenfess/status/1629407440373526528,
Sat Feb 25 02:34:33 +0000 2023,1629308842566901762,[ Serba-serbi rekomendasi bracelet yg dipakai treasure &amp  all idol kpop ]  — a thread by lala https://t.co/ZTk9Gxpzud,32,1,940,6358,in,1300637517402701824,1629308842566901762,kattsoju,https://twitter.com/kattsoju/status/1629308842566901762,
Fri Feb 24 03:59:10 +0000 2023,1628967748796846081,"-guys guys kalo di svt yg kelakuannya randomm &amp  agak lain siapa yaa? (kayak nctdream jaemin, treasure asahi, ) https://t.co/Ch7UZ3kGOy",459,983,411,5261,in,1210342758029807616,1628967748796846081,starfess,https://twitter.com/starfess/status/1628967748796846081,
Thu Feb 23 10:57:57 +0000 2023,1628710750255714304,teume! cinta pertama kalian di treasure siapa? https://t.co/zs7HsLyOaC,254,1331,170,3531,in,1271439514460753920,1628710750255714304,treasuremenfess,https://twitter.com/treasuremenfess/status/1628710750255714304,
Wed Feb 22 15:33:20 +0000 2023,1628417665114198016,Treasure as Si Paling Teknik Haruto : Teknik Kimia Jeongwoo : Teknik Kimia Jihoon : Teknik Mesin Hyunsuk : Arsitektur https://t.co/hUWJSKt9Xn,65,14,377,2727,in,1465644828809523205,1628417665114198016,hazhiera,https://twitter.com/hazhiera/status/1628417665114198016,
Wed Feb 22 09:35:55 +0000 2023,1628327718281527297,[230222] Hyung line  #TREASURE #트레저 #CHOIHYUNSUK #JIHOON #YOSHI #JUNKYU @treasuremembers https://t.co/jks36pdFVK,10,1,199,847,vi,1281373506492563458,1628327718281527297,TRSYGHD,https://twitter.com/TRSYGHD/status/1628327718281527297,treasuremembers
Wed Feb 22 03:59:16 +0000 2023,1628242995404492800,— 🎀🌸 GIVEAWAY LIGHTSTICK KEYRING TREASURE 1 WINNER 🌸🎀 —  rules  • follow + rt + like • rep apa aja bebas • jangan spam comment   end bulan maret [ tanggalnya tergantung mood 🥹👋🏻 ] https://t.co/lX2C1JzxIf,5,563,604,744,in,815936202834444288,1628242995404492800,asahuyuhuy,https://twitter.com/asahuyuhuy/status/1628242995404492800,
Wed Feb 22 02:12:14 +0000 2023,1628216060376940545,treasure pas ke pop up kemaren teume! outfit siapa yang paling kalian suka 😋 https://t.co/ZFWFSdJiz4,85,138,185,1500,in,1271439514460753920,1628216060376940545,treasuremenfess,https://twitter.com/treasuremenfess/status/1628216060376940545,
Wed Feb 22 00:37:10 +0000 2023,1628192138520563713,"Teume! Cepetan cek sekarang silsilah keturunan keluarga kalian, bisa jadi salah satu member Treasure sepupu jauh kliaann 😭😭😭😭 https://t.co/D7YDqbdECv",49,66,84,1514,in,1271439514460753920,1628192138520563713,treasuremenfess,https://twitter.com/treasuremenfess/status/1628192138520563713,
Tue Feb 21 14:46:17 +0000 2023,1628043437831491585,Seberapa #SiPalingMarvel nya kamu.. tau ga Hyunsuk 'Treasure' lagi dengerin theme song film/karakter marvel apa? 👀  💜🔥💜🔥 https://t.co/WofVLVrlGk,115,52,495,1705,in,1272192611357323264,1628043437831491585,SiPalingMarvel,https://twitter.com/SiPalingMarvel/status/1628043437831491585,
Tue Feb 21 08:44:42 +0000 2023,1627952439692259328,[230221] Asahi   #TREASURE #트레저 #ASAHI @treasuremembers https://t.co/BJjuFiB4EX,28,0,264,849,in,1281373506492563458,1627952439692259328,TRSYGHD,https://twitter.com/TRSYGHD/status/1627952439692259328,treasuremembers
Sat Feb 18 09:45:03 +0000 2023,1626880466531020803,Teume! Kayaknya jokes di antara member treasure baru baru ini tu jadi staff 😭😭😭😭 https://t.co/8iqB5HRV8X,42,54,249,4448,in,1271439514460753920,1626880466531020803,treasuremenfess,https://twitter.com/treasuremenfess/status/1626880466531020803,
Sat Feb 18 09:00:54 +0000 2023,1626869352535572484,Kenapa yg ginian ditiru si allahuakbar... Treasure ruqyah lu pada 😭 jangan terlalu ngefans lah plis https://t.co/cF4GDQuWS8,321,9,823,2818,in,877527494340952065,1626869352535572484,cherishthe17,https://twitter.com/cherishthe17/status/1626869352535572484,
Fri Feb 17 15:40:08 +0000 2023,1626607437045440512,Teume! Caption doyoung ke junghwan : Hijau : ayo kita jadi treasure yang bertahan lama Also doyoung Merah : junghwan-a bleeew ( 😝 ) ㅋ https://t.co/xZ5dd5lcCy,85,65,304,3727,in,1271439514460753920,1626607437045440512,treasuremenfess,https://twitter.com/treasuremenfess/status/1626607437045440512,
Thu Feb 16 03:44:08 +0000 2023,1626064860030316545,spot camera with jaesahi😂  #ASAHI #아사히 #TREASURE #트레저 https://t.co/Y7LUuO0gdU,47,0,415,1836,in,1452156544624168960,1626064860030316545,ASAHIFEEDS,https://twitter.com/ASAHIFEEDS/status/1626064860030316545,
Tue Feb 14 15:01:23 +0000 2023,1625510521196912640,"Wahhh teume! akhirnya besok treasure comeback, deg-degan gasii? siapa yg udah ga sabar dengerin jikjin? https://t.co/gICQLmQsuk",171,297,229,3994,in,1271439514460753920,1625510521196912640,treasuremenfess,https://twitter.com/treasuremenfess/status/1625510521196912640,
